latitude;longitude;descr_cat_veh;descr_agglo;descr_athmo;description_intersection;age;descr_grav;descr_motif_traj;descr_type_col
47.4833;-1.23333;1;1;1;1;54;1;1;1
45.6;5.63333;1;1;1;1;64;1;1;1
45.6;5.63333;2;1;1;1;63;1;1;1
42.7667;2.98333;2;1;1;1;66;1;2;1
45.9667;0.066667;2;1;2;2;72;1;1;1
48.2833;-4.05;1;1;2;1;54;1;1;1
48.5659;3.39723;2;1;2;2;45;1;1;1
48.1667;-3.78333;2;1;1;1;74;1;1;1
43.75;-0.35;2;1;1;1;56;1;1;1
43.6167;-0.633333;2;1;1;1;52;1;1;1
43.6167;-0.633333;2;1;1;1;73;1;2;1
49.0833;0.95;1;1;1;1;50;1;1;1
49.2667;1.38333;1;1;1;1;45;1;1;1
48.9833;1.19167;2;1;1;1;46;1;1;1
49.1;0.616667;2;1;2;1;42;1;2;1
49.2;1.25;2;1;2;2;51;1;1;1
44.4833;2.4;1;1;1;1;74;1;1;1
48.0167;2.9;2;1;1;1;61;1;1;1
44.5167;3.91667;2;1;1;1;45;1;2;1
49.5833;2.08333;1;1;1;1;53;1;1;1
49.3833;2.08333;1;1;1;1;52;1;1;1
44.1167;3.83333;2;1;2;1;36;1;2;1
48.0625;7.48001;2;1;1;1;63;1;2;1
47.8833;7.01667;2;1;2;1;38;1;2;1
47.6333;7.1;2;1;2;1;57;1;2;1
47.9333;-1.6;2;1;1;1;41;1;1;1
47.8167;-1.95;2;1;1;1;93;1;1;1
47.8167;-1.95;1;1;1;1;41;1;2;1
47.7;-2.0;1;1;1;1;30;1;2;1
47.7;-2.0;1;1;1;1;47;1;1;1
47.55;-0.416667;2;1;1;1;47;1;2;1
47.65;-0.433333;2;1;1;1;49;1;1;1
47.35;-0.85;2;1;2;1;37;1;2;1
47.1333;-0.15;2;1;2;1;49;1;2;1
47.2667;-0.083333;2;1;2;1;62;1;2;1
43.9353;4.32167;2;1;1;1;43;1;1;1
44.2333;4.13333;2;1;1;1;37;1;1;1
43.8;4.25;2;1;2;2;85;1;2;1
45.5;6.91667;1;1;1;1;54;1;1;1
45.6333;-0.65;2;1;2;1;67;1;2;1
44.2;3.18333;1;1;1;1;75;1;1;1
46.5833;0.266667;2;1;2;1;49;1;2;1
47.2833;1.33333;2;1;2;2;90;1;2;1
48.5;6.51667;2;1;1;1;50;1;1;1
48.5;6.51667;1;1;1;1;70;1;1;1
48.6833;5.85;2;1;2;2;100;1;1;1
48.6833;5.85;2;1;2;2;27;1;1;1
48.65;6.18333;2;1;1;1;44;1;2;1
45.1833;4.18333;1;1;2;1;52;1;1;1
49.1667;4.01667;2;1;1;1;40;1;1;1
48.7667;0.816667;2;1;1;1;51;1;1;1
46.1833;-1.06667;2;1;2;1;78;1;2;1
46.15;6.41667;2;1;1;1;47;1;2;1
46.15;6.41667;2;1;1;1;64;1;2;1
45.15;3.53333;1;1;2;1;38;1;1;1
45.05;4.03333;2;1;2;1;41;1;2;1
45.05;4.03333;2;1;2;1;85;1;2;1
46.6167;0.433333;2;1;2;1;36;1;2;1
45.1333;0.85;1;1;1;1;54;1;1;1
45.25;1.15;2;1;2;1;36;1;1;1
48.0589;5.05695;2;1;1;1;43;1;2;1
46.3333;6.68333;2;1;1;1;57;1;1;1
46.0;6.0;2;1;2;1;33;1;2;1
43.9;2.0;2;1;2;1;64;1;2;1
48.9583;4.36667;1;1;2;1;49;1;1;1
47.3667;5.15;2;1;1;1;58;1;2;1
47.3667;5.15;2;1;1;1;37;1;2;1
47.1167;5.05;1;1;1;1;73;1;1;1
47.25;5.15;2;1;1;1;66;1;1;1
43.6167;3.73333;2;1;2;1;41;1;1;1
43.8333;3.91667;2;1;1;1;85;1;2;1
43.4167;3.3;2;1;2;1;37;1;2;1
43.65;3.55;2;1;2;2;63;1;2;1
43.3;3.41667;2;1;2;1;62;1;2;1
48.6333;4.95;2;1;1;1;75;1;2;1
48.6333;4.95;2;1;1;1;50;1;1;1
43.6667;1.48333;2;1;2;2;70;1;2;1
47.7833;-3.41667;1;1;2;1;39;1;1;1
47.6833;-2.55;2;1;2;1;70;1;2;1
47.5333;-2.76667;2;1;1;1;72;1;2;1
47.5333;-2.76667;1;1;1;1;41;1;1;1
47.5333;-1.88333;1;1;2;1;50;1;1;1
47.1667;-1.26667;1;1;2;1;55;1;1;1
47.6333;-2.13333;1;1;2;1;64;1;1;1
45.3833;1.36667;2;1;2;1;58;1;1;1
45.3167;1.76667;2;1;2;2;39;1;2;1
47.2667;-0.083333;1;1;2;1;64;1;1;1
44.2;4.15;2;1;2;1;60;1;1;1
48.4167;4.58333;1;1;1;1;67;1;1;1
48.4;4.46667;1;1;2;1;40;1;1;1
48.4;4.46667;1;1;2;1;38;1;1;1
48.4333;3.75;2;1;1;1;37;1;1;1
48.3667;3.53333;2;1;1;1;17;1;2;1
48.3667;3.53333;2;1;1;1;40;1;2;1
48.3667;3.53333;2;1;1;1;42;1;2;1
48.3667;3.53333;2;1;1;1;38;1;2;1
48.3667;3.53333;2;1;1;1;41;1;2;1
48.3667;3.53333;1;1;1;1;62;1;1;1
48.3333;4.7;2;1;2;1;64;1;1;1
48.2333;4.61667;2;1;2;1;44;1;1;1
48.2667;4.1;2;1;2;1;48;1;2;1
49.85;2.63333;2;1;2;1;34;1;2;1
46.9;-0.333333;2;1;1;1;36;1;2;1
43.1;5.88333;2;1;2;1;44;1;2;1
46.3167;2.26667;1;1;2;2;43;1;1;1
46.1667;2.01667;2;1;2;1;75;1;2;1
42.6333;2.75;1;1;2;1;40;1;1;1
42.4667;1.93333;2;1;2;1;71;1;1;1
42.5833;2.11667;2;1;2;1;36;1;2;1
48.75;3.98333;1;1;2;1;59;1;1;1
49.0167;4.41667;2;1;2;1;38;1;2;1
43.6833;1.4;2;1;2;1;43;1;1;1
