latitude;longitude;descr_athmo;descr_lum;descr_etat_surf;age;descr_dispo_secu;descr_grav
47.4833;-1.23333;2;1;9;54;15;3
45.6;5.63333;3;5;4;64;15;3
45.6;5.63333;3;5;4;63;15;3
42.7667;2.98333;5;4;7;66;15;3
45.9667;0.066667;4;5;8;72;15;3
48.2833;-4.05;4;5;9;54;15;3
48.5659;3.39723;4;5;8;45;15;3
48.1667;-3.78333;1;5;9;74;15;3
43.75;-0.35;3;4;4;56;15;3
43.6167;-0.633333;1;4;9;52;15;3
43.6167;-0.633333;1;4;9;73;15;3
49.0833;0.95;3;1;9;50;15;3
49.2667;1.38333;3;5;4;45;15;3
48.9833;1.19167;1;4;8;46;15;3
49.1;0.616667;4;5;8;42;15;3
49.2;1.25;4;4;8;51;15;3
44.4833;2.4;8;5;9;74;15;3
48.0167;2.9;1;5;9;61;15;3
44.5167;3.91667;2;1;9;45;15;3
49.5833;2.08333;3;5;9;53;15;3
49.3833;2.08333;3;5;9;52;15;3
44.1167;3.83333;4;4;8;36;15;3
48.0625;7.48001;1;5;9;63;15;3
47.8833;7.01667;4;5;8;38;15;3
47.6333;7.1;4;5;8;57;15;3
47.9333;-1.6;2;1;9;41;15;3
47.8167;-1.95;2;5;7;93;15;3
47.8167;-1.95;2;5;7;41;15;3
47.7;-2.0;6;5;7;30;12;3
47.7;-2.0;6;5;7;47;15;3
47.55;-0.416667;3;5;4;47;15;3
47.65;-0.433333;8;5;7;49;15;3
47.35;-0.85;4;4;8;37;15;3
47.1333;-0.15;4;5;8;49;15;3
47.2667;-0.083333;4;4;8;62;15;3
43.9353;4.32167;7;5;8;43;15;3
44.2333;4.13333;8;5;7;37;15;3
43.8;4.25;4;1;8;85;15;3
45.5;6.91667;3;4;4;54;15;3
45.6333;-0.65;4;4;8;67;15;3
44.2;3.18333;7;5;7;75;15;3
46.5833;0.266667;4;4;8;49;15;3
47.2833;1.33333;4;5;8;90;8;3
48.5;6.51667;1;1;9;50;15;3
48.5;6.51667;1;1;9;70;15;3
48.6833;5.85;4;5;8;100;15;3
48.6833;5.85;4;5;8;27;15;3
48.65;6.18333;7;1;7;44;15;3
45.1833;4.18333;4;1;7;52;8;3
49.1667;4.01667;7;4;7;40;15;3
48.7667;0.816667;3;5;4;51;15;3
46.1833;-1.06667;4;5;8;78;15;3
46.15;6.41667;1;4;1;47;15;3
46.15;6.41667;1;4;1;64;15;3
45.15;3.53333;4;5;8;38;15;3
45.05;4.03333;4;5;8;41;8;3
45.05;4.03333;4;5;8;85;15;3
46.6167;0.433333;4;4;8;36;15;3
45.1333;0.85;6;5;3;54;12;3
45.25;1.15;4;5;8;36;15;3
48.0589;5.05695;3;4;7;43;15;3
46.3333;6.68333;3;4;4;57;15;3
46.0;6.0;4;5;8;33;15;3
43.9;2.0;4;5;8;64;15;3
48.9583;4.36667;4;1;8;49;15;3
47.3667;5.15;1;4;9;58;15;3
47.3667;5.15;1;4;9;37;15;3
47.1167;5.05;1;5;1;73;15;3
47.25;5.15;6;4;7;66;15;3
43.6167;3.73333;4;4;8;41;15;3
43.8333;3.91667;8;5;8;85;15;3
43.4167;3.3;4;4;8;37;9;3
43.65;3.55;4;5;8;63;15;3
43.3;3.41667;4;5;8;62;15;3
48.6333;4.95;6;5;7;75;15;3
48.6333;4.95;6;5;7;50;15;3
43.6667;1.48333;4;2;8;70;15;3
47.7833;-3.41667;4;4;8;39;15;3
47.6833;-2.55;4;1;8;70;15;3
47.5333;-2.76667;6;5;9;72;15;3
47.5333;-2.76667;6;5;9;41;15;3
47.5333;-1.88333;4;4;8;50;15;3
47.1667;-1.26667;4;5;8;55;15;3
47.6333;-2.13333;4;5;8;64;15;3
45.3833;1.36667;4;2;8;58;15;3
45.3167;1.76667;4;5;8;39;15;3
47.2667;-0.083333;4;5;8;64;15;3
44.2;4.15;4;5;8;60;15;3
48.4167;4.58333;7;5;9;67;15;3
48.4;4.46667;4;5;8;40;15;3
48.4;4.46667;4;5;8;38;15;3
48.4333;3.75;3;1;4;37;15;3
48.3667;3.53333;6;4;7;17;9;3
48.3667;3.53333;6;4;7;40;15;3
48.3667;3.53333;6;4;7;42;15;3
48.3667;3.53333;6;4;7;38;15;3
48.3667;3.53333;6;4;7;41;15;3
48.3667;3.53333;6;4;7;62;15;3
48.3333;4.7;4;5;8;64;15;3
48.2333;4.61667;4;5;8;44;15;3
48.2667;4.1;4;4;8;48;15;3
49.85;2.63333;4;4;8;34;15;3
46.9;-0.333333;6;4;7;36;15;3
43.1;5.88333;4;4;8;44;15;3
46.3167;2.26667;4;5;8;43;15;3
46.1667;2.01667;4;4;8;75;15;3
42.6333;2.75;4;5;8;40;15;3
42.4667;1.93333;4;5;8;71;15;3
42.5833;2.11667;4;5;8;36;15;3
48.75;3.98333;4;1;8;59;15;3
49.0167;4.41667;4;5;8;38;15;3
43.6833;1.4;4;2;8;43;15;3
49.1667;2.68333;4;5;8;50;15;3
49.1667;2.68333;4;5;8;63;15;3
49.3833;2.58333;6;5;7;61;15;3
42.55;1.83333;3;5;7;35;15;3
46.8667;-1.1;4;5;8;51;15;3
46.5833;-1.51667;4;4;8;39;15;3
